City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,293.55,60,100,9.36,PN,1690916624
1,qaqortoq,60.7167,-46.0333,280.8,80,25,1.79,GL,1690916625
2,port-aux-francais,-49.35,70.2167,278.57,98,100,11.97,TF,1690916625
3,west island,-12.1568,96.8225,297.14,78,100,6.69,CC,1690916625
4,lloydminster,53.2835,-110.0016,293.27,64,75,2.06,CA,1690916626
5,blackmans bay,-43.0167,147.3167,279.55,86,100,2.46,AU,1690916626
6,vila velha,-20.3297,-40.2925,297.12,82,40,4.12,BR,1690916603
7,punta arenas,-53.15,-70.9167,276.21,81,75,10.8,CL,1690916442
8,olonkinbyen,70.9221,-8.7187,280.35,86,59,2.79,SJ,1690916628
9,port lincoln,-34.7333,135.8667,284.42,76,0,4.7,AU,1690916628
10,grytviken,-54.2811,-36.5092,271.89,83,100,4.12,GS,1690916629
11,nis,43.7031,7.2661,304.03,74,0,10.29,FR,1690916629
12,barcelona,41.3888,2.159,301.94,81,20,7.2,ES,1690916527
13,constantia,44.1833,28.65,293.54,77,0,3.52,RO,1690916421
14,ilulissat,69.2167,-51.1,277.36,74,27,2.07,GL,1690916630
15,bethel,41.3712,-73.414,299.27,48,75,4.12,US,1690916630
16,saldanha,-33.0117,17.9442,281.18,75,68,3.97,ZA,1690916631
17,iqaluit,63.7506,-68.5145,283.0,76,75,4.12,CA,1690916485
18,tiksi,71.6872,128.8694,278.29,96,100,1.96,RU,1690916632
19,andergrove,-21.0833,149.1833,291.84,83,19,4.74,AU,1690916633
20,bilibino,68.0546,166.4372,282.5,75,7,0.39,RU,1690916633
21,puerto ayora,-0.7393,-90.3518,302.13,87,51,2.24,EC,1690916634
22,bosobolo,4.1833,19.9,295.7,97,100,0.82,CD,1690916635
23,iskateley,67.6803,53.1512,293.42,73,93,3.53,RU,1690916635
24,kargasok,59.0556,80.8572,288.74,94,18,2.56,RU,1690916635
25,vorgashor,67.5833,63.95,287.95,84,100,2.21,RU,1690916636
26,puerto natales,-51.7236,-72.4875,274.97,96,100,4.28,CL,1690916637
27,hammerfest,70.6634,23.6821,288.4,82,75,2.06,NO,1690916637
28,bredasdorp,-34.5322,20.0403,280.36,82,99,1.44,ZA,1690916638
29,plesetsk,62.708,40.2916,288.44,89,70,0.54,RU,1690916638
30,labrador city,52.9463,-66.9114,287.1,77,75,3.09,CA,1690916412
31,iguape,-24.7081,-47.5553,294.5,70,1,3.53,BR,1690916639
32,ushuaia,-54.8,-68.3,276.96,75,20,8.23,AR,1690916640
33,geraldton,-28.7667,114.6,285.38,76,75,6.69,AU,1690916560
34,cabo san lucas,22.8909,-109.9124,309.6,65,20,1.03,MX,1690916641
35,rypin,53.066,19.4094,292.13,92,100,4.18,PL,1690916641
36,ribeira grande,38.5167,-28.7,299.69,78,20,6.17,PT,1690916642
